recorte;cnpj;orgao_razao_social;unidade_codigo;unidade_nome;municipio_nome;esfera_classificada;n_contratacoes;n_itens;valor_total_estimado;valor_homologado_elegivel
AP_TODAS_ESFERAS;00743471000190;INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE SANTANA;932102;MAP-INSTITUTO PREV. DO MUNICIPIO DE SANTANA;Santana;municipal;1;1;12441.0;12433.3
AP_TODAS_ESFERAS;05986427000124;MUNICIPIO DE MAZAGAO;2138;Mazagão;Mazagão;municipal;1;2;185985.0;11992.5
AP_TODAS_ESFERAS;05194039000100;AGENCIA DE DEFESA E INSPECAO AGROPECUARIA DO ESTADO DO AMAPA - DIAGRO;73;AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA;Amapá;estadual;1;1;13702.8;11986.8
AP_TODAS_ESFERAS;02954346000154;CORPO DE BOMBEIROS MILITAR;94;CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPÁ;Macapá;estadual;1;7;15027.68;11959.2
AP_TODAS_ESFERAS;00508903000188;JUSTICA FEDERAL DE PRIMEIRA INSTANCIA;090037;JUSTICA FEDERAL DE 1A. INSTANCIA/AP;Macapá;federal;2;3;2632.64;11568.01
AP_TODAS_ESFERAS;05990437000133;MUNICIPIO DE CALCOENE;932334;MAP-PREFEITURA MUNICIPAL DE CALÇOENE;Calçoene;municipal;2;7;16497.7;10193.4
AP_TODAS_ESFERAS;11633713000109;DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DO AMAPA;63;DEPARTAMENTO ESTADUAL DE TRÂNSITO ;Amapá;estadual;1;3;13170.0;9861.0
AP_TODAS_ESFERAS;15126437000305;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;156956;HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA;Macapá;indefinida;1;4;11875.75;8500.0
AP_TODAS_ESFERAS;01002322000132;PROCURADORIA GERAL DO ESTADO DO AMAPA;11;PROCURADORIA-GERAL DO ESTADO ;Amapá;estadual;1;2;7996.6;7770.0
AP_TODAS_ESFERAS;00509018000113;TRIBUNAL SUPERIOR ELEITORAL;070029;TRIBUNAL REGIONAL ELEITORAL/AP;Macapá;federal;1;4;11327.0;7440.0
AP_TODAS_ESFERAS;00394502000144;COMANDO DA MARINHA;784312;CAPITANIA DOS PORTOS DO AMAPÁ;Santana;federal;2;3;7893.25;6527.5
AP_TODAS_ESFERAS;34870246000136;TRIBUNAL DE CONTAS DO ESTADO DO AMAPA;927045;TRIBUNAL DE CONTAS DO ESTADO DO AMAPÁ;Macapá;estadual;3;4;7287.3;6510.0
AP_TODAS_ESFERAS;34926188000115;INSTITUTO DE EXTENSAO, ASSISTENCIA E DESENVOLVIMENTO RURAL DO AMAPA;24;INSTITUTO DE  DESENVOLVIMENTO RURAL DO ESTADO DO AMAPÁ ;Amapá;estadual;1;1;8626.5;6471.0
AP_TODAS_ESFERAS;11778652000178;SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADAO;56;SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADÃO;Amapá;estadual;1;2;0.0;5748.0
AP_TODAS_ESFERAS;50956623000100;FUNDACAO DE SAUDE AMAPAENSE - FUNDESA;3273; FUNDESA - FUNDAÇÃO DE SAÚDE AMAPAENSE/AP;Macapá;estadual;1;2;6484.65;3658.29
AP_TODAS_ESFERAS;34870576000121;TRIBUNAL DE JUSTICA DO ESTADO DO AMAPA;925306;TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ;Macapá;estadual;2;2;4740.0;3086.0
AP_TODAS_ESFERAS;34868257000181;FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA;154215;FUNDACAO UNIVERSIDADE FEDERAL/AP;Macapá;federal;1;1;1925.4;1920.9
AP_TODAS_ESFERAS;11762179000130;SECRETARIA DE ESTADO DA INFRA-ESTRUTURA;462116;EAP-SECRETARIA DE ESTADO DA INFRAESTRUTURA;Macapá;estadual;1;3;2541.9;1791.95
AP_TODAS_ESFERAS;15126437000143;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;156956;HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA;Macapá;federal;2;5;3271.7000000000003;1673.8
AP_TODAS_ESFERAS;03592977000133;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;930222;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL-AP;Macapá;indefinida;1;5;2250.0;1620.0
AP_TODAS_ESFERAS;30144641000180;FUNDO MUNICIPAL DE EDUCACAO - FME;1398;FUNDO MUNICIPAL DE EDUCAÇÃO DE VITÓRIA DO JARI/AP;Vitória do Jari;municipal;1;1;1506.6;1494.0
AP_TODAS_ESFERAS;00394502001205;COMANDO DA MARINHA;784312;CAPITANIA DOS PORTOS DO AMAPÁ;Santana;federal;1;1;1480.26;1480.0
AP_TODAS_ESFERAS;32665025000109;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS;3014;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS - AP;Oiapoque;municipal;1;1;1400.0;1300.0
AP_TODAS_ESFERAS;25002757000145;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPA - FREBOM;3;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS;Macapá;estadual;1;1;2050.0;1215.0
AP_TODAS_ESFERAS;04892707002588;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES;390071;SUPERINTENDÊNCIA REGIONAL DO DNIT - AP;Macapá;federal;1;3;1053.2;948.0
AP_TODAS_ESFERAS;22918796000107;AGENCIA DE DESENVOLVIMENTO ECONOMICO DO AMAPA;62;AGÊNCIA DE DESENVOLVIMENTO ECONÔMICO DO AMAPÁ;Macapá;estadual;2;4;1839.8000000000002;670.0
AP_TODAS_ESFERAS;01249331000122;SECRETARIA DE ESTADO DO MEIO AMBIENTE;80;SECRETARIA DE ESTADO DO MEIO AMBIENTE;Macapá;estadual;1;1;750.0;570.0
AP_TODAS_ESFERAS;84408731000160;CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO AMAPA;389420;CONSELHO REG.DE ENG. E AGRON. DO AMAPA;Macapá;federal;1;4;665.66;540.0
AP_TODAS_ESFERAS;11762196000178;SECRETARIA DE ESTADO DO DESPORTO E DO LAZER;84;SECRETARIA DE ESTADO DO DESPORTO E  DO LAZER;Macapá;estadual;4;10;43716.0;471.2
AP_TODAS_ESFERAS;23612685000122;MINISTERIO DO TRABALHO;400086;SUPERINTENDÊNCIA REG. DO TRABALHO E EMPREGO;Macapá;federal;1;3;432.66;409.0
AP_TODAS_ESFERAS;04199826000182;CONSELHO REGIONAL DE MEDICINA DO ESTADO DO AMAPA;926464;CONSELHO REGIONAL DE MEDICINA DO AMAPA;Macapá;federal;1;1;570.18;338.0
AP_TODAS_ESFERAS;00394502002864;COMANDO DA MARINHA;784312;CAPITANIA DOS PORTOS DO AMAPÁ;Santana;federal;1;1;335.6;328.8
AP_TODAS_ESFERAS;34865584000180;CONSELHO REGIONAL DE ODONTOLOGIA DO AMAPA;931778;CONSELHO REGIONAL DE ODONTOL. ESTADO DO AMAPá;Macapá;federal;2;3;322.634;290.0
AP_TODAS_ESFERAS;21744847000150;BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXERCITO;160026;COMANDO DA 22ª BRIGADA DE INFANTARIA DE SELVA;Macapá;federal;1;2;595.89;259.32
AP_TODAS_ESFERAS;00593411000138;CONSELHO REGIONAL DE ENFERMAGEM DO AMAPA;389346;CONSELHO REGIONAL DE ENFERMAGEM DO AMAPA;Macapá;federal;1;2;212.29;212.19
AP_TODAS_ESFERAS;11762249000150;SECRETARIA DE ESTADO DA CIENCIA E TECNOLOGIA;29;SECRETARIA DE ESTADO DA CIÊNCIA E TECNOLOGIA ;Macapá;estadual;1;1;248.04;153.06
AP_TODAS_ESFERAS;34868927000160;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAPA;926714;ASSEMBLÉIA LEGISLATIVA DO ESTADO AO AMAPÁ;Macapá;estadual;1;2;837.95;90.0
AP_TODAS_ESFERAS;26461699000180;COMPANHIA NACIONAL DE ABASTECIMENTO;135596;CONAB SEDE SUREG AMAPA;Macapá;federal;1;1;22.56;22.4
AP_TODAS_ESFERAS;01762561000190;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPA;35;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ ;Macapá;estadual;1;1;708.07;0.0
AP_TODAS_ESFERAS;11762144000100;DEFENSORIA PUBLICA DO ESTADO;927560;EAP-DEFENSORIA PÚBLICA DO ESTADO DO AMAPÁ;Macapá;estadual;1;2;8846.0;0.0
AP_TODAS_ESFERAS;11707402000147;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;000000001;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;Laranjal do Jari;municipal;1;1;2972.25;0.0
AP_TODAS_ESFERAS;05989116000119;MUNICIPIO DE AMAPA;2137;Prefeitura Municipal de Amapá;Amapá;municipal;2;4;0.0;0.0
AP_TODAS_ESFERAS;05995766000177;MUNICIPIO DE MACAPA;980605;PMAP - PREFEITURA MUNICIPAL DE MACAPÁ;Macapá;municipal;1;4;9415.47;0.0
AP_TODAS_ESFERAS;15025396000107;FUNDO MUNICIPAL DE EDUCACAO DE LARANJAL DO JARI;929426;FUNDO MUNIC.EDUCAÇÃO DE LARANJAL DO JARI - AP;Laranjal do Jari;municipal;1;1;24400.0;0.0
AP_TODAS_ESFERAS;34925198000136;MUNICIPIO DE CUTIAS;3294;MUNICÍPIO DE CUTIAS/AP;Cutias;municipal;1;5;109291.68;0.0
AP_TODAS_ESFERAS;34925131000100;MUNICIPIO DE PEDRA BRANCA DO AMAPARI;8066;FUNDO MUNICIPAL DE SAUDE;Pedra Branca do Amapari;municipal;1;2;51720.0;0.0
AP_TODAS_ESFERAS;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;estadual;1;1;85054.45;0.0
