recorte;classificacao_produto_id;produto_nome;linha;n_itens;n_contratacoes;valor_total_estimado;valor_homologado_elegivel;n_resultados;participacao_pct;participacao_acumulada_pct;curva_abc
AP_TODAS_ESFERAS;E04;Bola de basquete;esportivo;11;9;178172.5;136899.84;9.0;14.176491561524147;43.66848721404785;A
AP_TODAS_ESFERAS;P06;Caneta esferografica azul/preta/vermelha;educativo;62;35;208970.62;129966.86;54.0;13.458555496250323;57.12704271029817;A
AP_TODAS_ESFERAS;P02;Caderno universitario, capa dura, 10+ materias;educativo;2;2;238520.14;116600.0;1.0;12.07436704143493;69.2014097517331;A
AP_TODAS_ESFERAS;P01;Papel sulfite A4, resma de 500 folhas;educativo;3;3;98480.0;82258.0;3.0;8.518124220363246;77.71953397209634;A
AP_TODAS_ESFERAS;P19;Apagador para quadro/lousa;educativo;12;12;67126.6425;44444.85;10.0;4.602430806187987;82.32196477828433;B
AP_TODAS_ESFERAS;E15;Colchonete de ginastica;esportivo;6;6;52364.65;25446.4;4.0;2.635070098483446;84.95703487676778;B
AP_TODAS_ESFERAS;E10;Cone esportivo de sinalizacao;esportivo;13;11;218696.25;18971.8;5.0;1.9646010003147103;86.9216358770825;B
AP_TODAS_ESFERAS;E01;Bola de futebol de campo;esportivo;10;6;96811.6;16512.0;1.0;1.7098794904646104;88.63151536754711;B
AP_TODAS_ESFERAS;E13;Cronometro digital profissional;esportivo;5;5;16511.77;14796.9;4.0;1.5322744569074487;90.16378982445455;B
AP_TODAS_ESFERAS;E02;Bola de futsal;esportivo;5;4;21536.6;13049.44;3.0;1.3513184240581702;91.51510824851272;B
AP_TODAS_ESFERAS;E12;Apito de arbitro;esportivo;10;8;13704.25;12990.35;10.0;1.3451994330763657;92.86030768158908;B
AP_TODAS_ESFERAS;E22;Trofeu;esportivo;7;5;13953.82;12592.65;5.0;1.3040161074127408;94.16432378900181;B
AP_TODAS_ESFERAS;E23;Medalha de premiacao;esportivo;6;4;16217.5;12218.01;4.0;1.265220731182868;95.42954452018468;C
AP_TODAS_ESFERAS;P08;Apontador de lapis;educativo;18;18;278561.924;10650.0;1.0;1.1028474184501031;96.53239193863477;C
AP_TODAS_ESFERAS;E14;Bomba manual de ar para bolas;esportivo;4;4;6734.5;5610.0;2.0;0.5809365274652655;97.11332846610004;C
AP_TODAS_ESFERAS;E17;Placa de tatame em EVA;esportivo;2;2;7505.4;5318.85;2.0;0.5507868536735522;97.6641153197736;C
AP_TODAS_ESFERAS;E05;Bola de handebol;esportivo;5;3;10367.49;5293.62;5.0;0.5481741926061816;98.21228951237978;C
AP_TODAS_ESFERAS;E16;Corda de pular;esportivo;1;1;3184.0;2880.0;1.0;0.2982347948484786;98.51052430722827;C
AP_TODAS_ESFERAS;E07;Rede de volei;esportivo;3;3;6733.04;2533.0;2.0;0.2623016442191653;98.77282595144743;C
AP_TODAS_ESFERAS;E24;Bambole;esportivo;3;3;5681.8;2238.0;3.0;0.23175328849683857;99.00457923994426;C
AP_TODAS_ESFERAS;P15;Cartolina;educativo;9;3;3408.0;2130.0;6.0;0.2205694836900206;99.22514872363428;C
AP_TODAS_ESFERAS;E06;Rede para trave de futsal/futebol;esportivo;1;1;2962.9;2085.0;1.0;0.21590956502051312;99.44105828865479;C
AP_TODAS_ESFERAS;P21;Blocos logicos;educativo;1;1;1506.6;1494.0;1.0;0.15470929982764825;99.59576758848243;C
AP_TODAS_ESFERAS;E20;Mesa de tenis de mesa;esportivo;1;1;1480.26;1480.0;1.0;0.15325954735269037;99.74902713583512;C
AP_TODAS_ESFERAS;P05;Lapis grafite numero 2/HB;educativo;2;2;2899.7;1023.6;2.0;0.10599761666906342;99.85502475250418;C
AP_TODAS_ESFERAS;P04;Lapis de cor, caixa de 12 cores;educativo;1;1;811.5;800.0;1.0;0.08284299856902183;99.9378677510732;C
AP_TODAS_ESFERAS;E09;Colete de treinamento esportivo;esportivo;1;1;600.0;480.0;1.0;0.0497057991414131;99.9875735502146;C
AP_TODAS_ESFERAS;P10;Tinta guache, conjunto de seis cores;educativo;1;1;198.6;120.0;1.0;0.012426449785353275;99.99999999999996;C
AP_TODAS_ESFERAS;P03;Caderno brochura/brochurao;educativo;1;1;17803.76;0.0;0.0;0.0;99.99999999999996;C
AP_TODAS_ESFERAS;P07;Borracha escolar;educativo;1;1;3057.28;0.0;0.0;0.0;99.99999999999996;C
