produto_id;unidade_normalizada;fator_conversao;especificacao_chave;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
P15;unidade;1.0;generico;estimado;0.9;1.8275000000000001;2.25;2.25;8;3;
P19;UNID.;;generico;estimado;8.5933;9.159433333333332;8.9775;9.9075;3;3;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P19;unidade;1.0;generico;estimado;4.28;23.634999999999998;11.28;112.5;8;8;
P19;unidade;12.0;generico;estimado;259.7;259.7;259.7;259.7;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P21;unidade;1.0;generico;estimado;83.7;83.7;83.7;83.7;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E01;unidade;1.0;campo;homologado;172.0;172.0;172.0;172.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E02;unidade;1.0;futsal;homologado;60.0;124.92;100.0;214.76;3;3;
E03;1 Un.;;280g;homologado;90.0;90.0;90.0;90.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E03;unidade;1.0;280g;homologado;284.0;392.33000000000004;392.33000000000004;500.66;2;2;
E03;unidade;1.0;generico;homologado;52.0;88.59571428571428;99.8;128.74;7;4;
E03;unidade;1.0;praia;homologado;283.0;283.0;283.0;283.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E03;unidade;1.0;praia|280g;homologado;240.0;254.4;254.4;268.8;2;2;
E04;unidade;1.0;650g;homologado;299.0;299.5;299.5;300.0;2;2;
E04;unidade;1.0;generico;homologado;49.5;149.08999999999997;124.61;382.0;7;6;
E05;unidade;1.0;generico;homologado;60.0;117.928;120.13;147.41;5;3;
E06;par;1.0;campo;homologado;417.0;417.0;417.0;417.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;jogo;;generico;homologado;74.05;74.05;74.05;74.05;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;unidade;1.0;generico;homologado;263.0;263.0;263.0;263.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E09;Ind 1 un;;generico;homologado;20.0;20.0;20.0;20.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E10;Ind 1 un;;generico;homologado;18.0;58.945;58.945;99.89;2;2;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
E10;Kit 10 Un;;generico;homologado;5.89;5.89;5.89;5.89;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E10;unidade;1.0;generico;homologado;10.76;94.88;94.88;179.0;2;2;
E12;Ind 1 un;;generico;homologado;6.78;6.78;6.78;6.78;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;UNID;;generico;homologado;65.0;65.0;65.0;65.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;unidade;1.0;generico;homologado;12.0;26.47875;27.375;43.2;8;6;
E13;unidade;1.0;generico;homologado;40.54;126.985;69.3;328.8;4;4;
E14;unidade;1.0;generico;homologado;47.2;56.1;56.1;65.0;2;2;
E15;Ind - 1 - unidade;;esp3cm;homologado;243.0;243.0;243.0;243.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E15;unidade;1.0;generico;homologado;34.0;56.28;56.28;78.56;2;2;
E15;unidade;1.0;infantil|esp05cm;homologado;139.46;139.46;139.46;139.46;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E16;Ind 1 un;;esp10mm;homologado;18.0;18.0;18.0;18.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E17;unidade;1.0;generico;homologado;128.06;177.29500000000002;177.29500000000002;226.53;2;2;
E20;unidade;1.0;generico;homologado;1480.0;1480.0;1480.0;1480.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;Ind 1 un;;generico;homologado;77.0;77.0;77.0;77.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;unidade;1.0;generico;homologado;665.33;1270.8325;1075.0;2268.0;4;3;
E23;unidade;1.0;generico;homologado;7.18;1981.2975000000001;9.0;7900.01;4;2;
E24;unidade;1.0;generico;homologado;3.4;6.463333333333334;5.99;10.0;3;3;
P01;1 Un.;;generico;homologado;193.05;193.05;193.05;193.05;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Cx 10 Resmas;;75g;homologado;239.0;239.0;239.0;239.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Ind 1 Resma;;75g;homologado;17.0;17.0;17.0;17.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P02;unidade;1.0;generico;homologado;22.0;22.0;22.0;22.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P04;Caixa 24,00 UN;;generico;homologado;16.0;16.0;16.0;16.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P05;Caixa 12,00 UN;;generico;homologado;6.48;6.48;6.48;6.48;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P05;Cx 72 Un;;tam2;homologado;57.0;57.0;57.0;57.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P06;CX;;generico;homologado;21.44;22.185000000000002;22.185000000000002;22.93;2;1;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Caixa 12,00 UN;;generico;homologado;16.2;16.2;16.2;16.2;3;1;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
