produto_id;unidade_normalizada;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
P04;Cx 12 un;homologado;10.33;10.33;10.33;10.33;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P04;unidade;homologado;1.5;1.5;1.5;1.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P05;Caixa 12,00 UN;homologado;6.48;6.48;6.48;6.48;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P05;Cx 72 Un;homologado;57.0;57.0;57.0;57.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P06;CX;homologado;21.44;22.185000000000002;22.185000000000002;22.93;2;1;
P06;Caixa 12,00 UN;homologado;16.2;16.2;16.2;16.2;3;1;
P06;Caixa 50 UN;homologado;26.0;36.16615384615385;32.58;61.0;13;6;
P06;Caixa 50,00 UN;homologado;16.0;32.233636363636364;35.4;39.99;11;6;
P06;Cx 50 Un.;homologado;25.51;37.35;33.5;47.9;7;5;
P06;Cx 50 Unds;homologado;21.77;21.91333333333333;21.77;22.2;3;1;
P06;unidade;homologado;0.49;778.37;1.0;12433.3;16;11;
P10;Caixa 6,00 UN;homologado;4.0;4.0;4.0;4.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P12;unidade;homologado;9.35;9.35;9.35;9.35;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P14;Ind 1 un;homologado;6.3;6.3;6.3;6.3;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;Caixa 1000 UN;homologado;1500.0;1500.0;1500.0;1500.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;unidade;homologado;0.85;1.491666666666667;1.62;1.62;6;2;
P16;unidade;homologado;465000.0;465000.0;465000.0;465000.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P19;UNID.;homologado;5.89;6.945;6.945;8.0;2;2;
P19;unidade;homologado;3.0;16.075;5.465;92.25;8;8;
P21;unidade;homologado;83.0;83.0;83.0;83.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
